"model","rep","total_blens","mean_blens","blens","system"
"best","1","2.473775","0.494755",1.6,"RBD"
"best","2","2.988165","0.597633",1.6,"RBD"
"best","3","2.614222","0.5228444",1.6,"RBD"
"best","4","2.222223","0.4444446",1.6,"RBD"
"best","5","2.495402","0.4990804",1.6,"RBD"
"best","6","2.695954","0.5391908",1.6,"RBD"
"best","7","2.171247","0.4342494",1.6,"RBD"
"best","8","2.614107","0.5228214",1.6,"RBD"
"best","9","2.400343","0.4800686",1.6,"RBD"
"best","10","2.440448","0.4880896",1.6,"RBD"
"best","11","3.148255","0.629651",1.6,"RBD"
"best","12","2.438439","0.4876878",1.6,"RBD"
"best","13","2.408565","0.481713",1.6,"RBD"
"best","14","0.754251","0.1508502",1.6,"RBD"
"best","15","2.264209","0.4528418",1.6,"RBD"
"best","16","2.730103","0.5460206",1.6,"RBD"
"best","17","2.705845","0.541169",1.6,"RBD"
"best","18","2.67845","0.53569",1.6,"RBD"
"best","19","2.953591","0.5907182",1.6,"RBD"
"best","20","1.987118","0.3974236",1.6,"RBD"
"best","21","2.590863","0.5181726",1.6,"RBD"
"best","22","2.799061","0.5598122",1.6,"RBD"
"best","23","2.729523","0.5459046",1.6,"RBD"
"best","24","2.334776","0.4669552",1.6,"RBD"
"best","25","2.492806","0.4985612",1.6,"RBD"
"best","26","2.885982","0.5771964",1.6,"RBD"
"best","27","3.387639","0.6775278",1.6,"RBD"
"best","28","2.086753","0.4173506",1.6,"RBD"
"best","29","2.528881","0.5057762",1.6,"RBD"
"best","30","2.32765","0.46553",1.6,"RBD"
"best","31","2.356308","0.4712616",1.6,"RBD"
"best","32","2.438732","0.4877464",1.6,"RBD"
"best","33","2.528341","0.5056682",1.6,"RBD"
"best","34","2.815735","0.563147",1.6,"RBD"
"best","35","2.394502","0.4789004",1.6,"RBD"
"best","36","3.589999","0.7179998",1.6,"RBD"
"best","37","2.623044","0.5246088",1.6,"RBD"
"best","38","3.176594","0.6353188",1.6,"RBD"
"best","39","3.750769","0.7501538",1.6,"RBD"
"best","40","4.095931","0.8191862",1.6,"RBD"
"best","41","2.162132","0.4324264",1.6,"RBD"
"best","42","2.467129","0.4934258",1.6,"RBD"
"best","43","2.455183","0.4910366",1.6,"RBD"
"best","44","1.977801","0.3955602",1.6,"RBD"
"best","45","2.798942","0.5597884",1.6,"RBD"
"best","46","2.957743","0.5915486",1.6,"RBD"
"best","47","2.57914","0.515828",1.6,"RBD"
"best","48","1.915846","0.3831692",1.6,"RBD"
"best","49","3.109682","0.6219364",1.6,"RBD"
"best","50","2.912212","0.5824424",1.6,"RBD"
"best","51","2.191166","0.4382332",1.6,"RBD"
"best","52","2.331965","0.466393",1.6,"RBD"
"best","53","2.433003","0.4866006",1.6,"RBD"
"best","54","2.306796","0.4613592",1.6,"RBD"
"best","55","1.867456","0.3734912",1.6,"RBD"
"best","56","4.785574","0.9571148",1.6,"RBD"
"best","57","2.51723","0.503446",1.6,"RBD"
"best","58","2.188349","0.4376698",1.6,"RBD"
"best","59","3.120556","0.6241112",1.6,"RBD"
"best","60","2.027495","0.405499",1.6,"RBD"
"best","61","3.235161","0.6470322",1.6,"RBD"
"best","62","6.379384","1.2758768",1.6,"RBD"
"best","63","1.991408","0.3982816",1.6,"RBD"
"best","64","1.756826","0.3513652",1.6,"RBD"
"best","65","2.73025","0.54605",1.6,"RBD"
"best","66","2.421502","0.4843004",1.6,"RBD"
"best","67","2.185714","0.4371428",1.6,"RBD"
"best","68","3.106343","0.6212686",1.6,"RBD"
"best","69","2.231135","0.446227",1.6,"RBD"
"best","70","2.636132","0.5272264",1.6,"RBD"
"best","71","2.220429","0.4440858",1.6,"RBD"
"best","72","2.684764","0.5369528",1.6,"RBD"
"best","73","2.914873","0.5829746",1.6,"RBD"
"best","74","2.445844","0.4891688",1.6,"RBD"
"best","75","2.398661","0.4797322",1.6,"RBD"
"best","76","2.612344","0.5224688",1.6,"RBD"
"best","77","2.31924","0.463848",1.6,"RBD"
"best","78","2.51362","0.502724",1.6,"RBD"
"best","79","0.801699","0.1603398",1.6,"RBD"
"best","80","2.852068","0.5704136",1.6,"RBD"
"best","81","2.848882","0.5697764",1.6,"RBD"
"best","82","2.518813","0.5037626",1.6,"RBD"
"best","83","2.362969","0.4725938",1.6,"RBD"
"best","84","2.841717","0.5683434",1.6,"RBD"
"best","85","2.696534","0.5393068",1.6,"RBD"
"best","86","2.192101","0.4384202",1.6,"RBD"
"best","87","6.150857","1.2301714",1.6,"RBD"
"best","88","2.724052","0.5448104",1.6,"RBD"
"best","89","2.667043","0.5334086",1.6,"RBD"
"best","90","3.419996","0.6839992",1.6,"RBD"
"best","91","2.625731","0.5251462",1.6,"RBD"
"best","92","2.381092","0.4762184",1.6,"RBD"
"best","93","2.649223","0.5298446",1.6,"RBD"
"best","94","2.469118","0.4938236",1.6,"RBD"
"best","95","2.312091","0.4624182",1.6,"RBD"
"best","96","2.72528","0.545056",1.6,"RBD"
"best","97","3.117844","0.6235688",1.6,"RBD"
"best","98","2.224679","0.4449358",1.6,"RBD"
"best","99","2.660259","0.5320518",1.6,"RBD"
"best","100","2.865227","0.5730454",1.6,"RBD"
"best","101","2.174039","0.4348078",1.6,"RBD"
"best","102","3.696098","0.7392196",1.6,"RBD"
"best","103","2.579597","0.5159194",1.6,"RBD"
"best","104","2.394129","0.4788258",1.6,"RBD"
"best","105","2.376648","0.4753296",1.6,"RBD"
"best","106","2.142217","0.4284434",1.6,"RBD"
"best","107","1.932302","0.3864604",1.6,"RBD"
"best","108","2.296482","0.4592964",1.6,"RBD"
"best","109","2.920855","0.584171",1.6,"RBD"
"best","110","3.287222","0.6574444",1.6,"RBD"
"best","111","2.600284","0.5200568",1.6,"RBD"
"best","112","2.580002","0.5160004",1.6,"RBD"
"best","113","2.274099","0.4548198",1.6,"RBD"
"best","114","2.656256","0.5312512",1.6,"RBD"
"best","115","2.313918","0.4627836",1.6,"RBD"
"best","116","3.148205","0.629641",1.6,"RBD"
"best","117","2.735516","0.5471032",1.6,"RBD"
"best","118","2.769875","0.553975",1.6,"RBD"
"best","119","2.187752","0.4375504",1.6,"RBD"
"best","120","2.538399","0.5076798",1.6,"RBD"
"best","121","2.255308","0.4510616",1.6,"RBD"
"best","122","3.268113","0.6536226",1.6,"RBD"
"best","123","3.34285","0.66857",1.6,"RBD"
"best","124","2.072827","0.4145654",1.6,"RBD"
"best","125","2.490013","0.4980026",1.6,"RBD"
"best","126","2.192875","0.438575",1.6,"RBD"
"best","127","5.60242","1.120484",1.6,"RBD"
"best","128","1.997905","0.399581",1.6,"RBD"
"best","129","3.685598","0.7371196",1.6,"RBD"
"best","130","2.325722","0.4651444",1.6,"RBD"
"best","131","2.474453","0.4948906",1.6,"RBD"
"best","132","3.224883","0.6449766",1.6,"RBD"
"best","133","1.927002","0.3854004",1.6,"RBD"
"best","134","2.449669","0.4899338",1.6,"RBD"
"best","135","2.004404","0.4008808",1.6,"RBD"
"best","136","2.66314","0.532628",1.6,"RBD"
"best","137","3.562632","0.7125264",1.6,"RBD"
"best","138","2.342752","0.4685504",1.6,"RBD"
"best","139","2.290954","0.4581908",1.6,"RBD"
"best","140","2.324894","0.4649788",1.6,"RBD"
"best","141","1.872651","0.3745302",1.6,"RBD"
"best","142","2.164421","0.4328842",1.6,"RBD"
"best","143","2.77014","0.554028",1.6,"RBD"
"best","144","2.941012","0.5882024",1.6,"RBD"
"best","145","3.60633","0.721266",1.6,"RBD"
