"model","rep","total_blens","mean_blens","blens","system"
"best","1","1.574757","0.3149514",0.4,"RBD"
"best","2","1.250187","0.2500374",0.4,"RBD"
"best","3","0.975251","0.1950502",0.4,"RBD"
"best","4","2.369961","0.4739922",0.4,"RBD"
"best","5","1.236955","0.247391",0.4,"RBD"
"best","6","1.192801","0.2385602",0.4,"RBD"
"best","7","1.418994","0.2837988",0.4,"RBD"
"best","8","1.760361","0.3520722",0.4,"RBD"
"best","9","2.26694","0.453388",0.4,"RBD"
"best","10","1.752322","0.3504644",0.4,"RBD"
"best","11","0.983634","0.1967268",0.4,"RBD"
"best","12","1.30852","0.261704",0.4,"RBD"
"best","13","0.958666","0.1917332",0.4,"RBD"
"best","14","2.038656","0.4077312",0.4,"RBD"
"best","15","1.323153","0.2646306",0.4,"RBD"
"best","16","1.452149","0.2904298",0.4,"RBD"
"best","17","1.285278","0.2570556",0.4,"RBD"
"best","18","1.571987","0.3143974",0.4,"RBD"
"best","19","1.212795","0.242559",0.4,"RBD"
"best","20","2.283599","0.4567198",0.4,"RBD"
"best","21","1.215111","0.2430222",0.4,"RBD"
"best","22","2.070173","0.4140346",0.4,"RBD"
"best","23","1.481199","0.2962398",0.4,"RBD"
"best","24","1.17517","0.235034",0.4,"RBD"
"best","25","1.439805","0.287961",0.4,"RBD"
"best","26","2.241915","0.448383",0.4,"RBD"
"best","27","1.412279","0.2824558",0.4,"RBD"
"best","28","0.712111","0.1424222",0.4,"RBD"
"best","29","1.758224","0.3516448",0.4,"RBD"
"best","30","1.556077","0.3112154",0.4,"RBD"
"best","31","1.513196","0.3026392",0.4,"RBD"
"best","32","1.235458","0.2470916",0.4,"RBD"
"best","33","0.983138","0.1966276",0.4,"RBD"
"best","34","1.350629","0.2701258",0.4,"RBD"
"best","35","1.208238","0.2416476",0.4,"RBD"
"best","36","1.492829","0.2985658",0.4,"RBD"
"best","37","1.081566","0.2163132",0.4,"RBD"
"best","38","0.927123","0.1854246",0.4,"RBD"
"best","39","1.934355","0.386871",0.4,"RBD"
"best","40","1.685853","0.3371706",0.4,"RBD"
"best","41","1.56926","0.313852",0.4,"RBD"
"best","42","1.151989","0.2303978",0.4,"RBD"
"best","43","1.536368","0.3072736",0.4,"RBD"
"best","44","1.446622","0.2893244",0.4,"RBD"
"best","45","1.39128","0.278256",0.4,"RBD"
"best","46","1.524361","0.3048722",0.4,"RBD"
"best","47","0.974316","0.1948632",0.4,"RBD"
"best","48","1.713043","0.3426086",0.4,"RBD"
"best","49","1.086123","0.2172246",0.4,"RBD"
"best","50","1.218358","0.2436716",0.4,"RBD"
"best","51","1.955617","0.3911234",0.4,"RBD"
"best","52","1.421014","0.2842028",0.4,"RBD"
"best","53","1.68553","0.337106",0.4,"RBD"
"best","54","1.160592","0.2321184",0.4,"RBD"
"best","55","1.292868","0.2585736",0.4,"RBD"
"best","56","1.60542","0.321084",0.4,"RBD"
"best","57","1.24003","0.248006",0.4,"RBD"
"best","58","1.549678","0.3099356",0.4,"RBD"
"best","59","1.390616","0.2781232",0.4,"RBD"
"best","60","1.322463","0.2644926",0.4,"RBD"
"best","61","1.614543","0.3229086",0.4,"RBD"
"best","62","0.992573","0.1985146",0.4,"RBD"
"best","63","1.365055","0.273011",0.4,"RBD"
"best","64","1.825317","0.3650634",0.4,"RBD"
