"model","rep","total_blens","mean_blens","blens","system"
"best","1","3.173306","0.6346612",0.8,"SR"
"best","2","2.154638","0.4309276",0.8,"SR"
"best","3","2.881407","0.5762814",0.8,"SR"
"best","4","5.655037","1.1310074",0.8,"SR"
"best","5","4.404448","0.8808896",0.8,"SR"
"best","6","3.097039","0.6194078",0.8,"SR"
"best","7","4.185497","0.8370994",0.8,"SR"
"best","8","4.199326","0.8398652",0.8,"SR"
"best","9","2.332953","0.4665906",0.8,"SR"
"best","10","6.13715","1.22743",0.8,"SR"
"best","11","3.47726","0.695452",0.8,"SR"
"best","12","5.07782","1.015564",0.8,"SR"
"best","13","2.607595","0.521519",0.8,"SR"
"best","14","4.368865","0.873773",0.8,"SR"
"best","15","5.536435","1.107287",0.8,"SR"
"best","16","5.036851","1.0073702",0.8,"SR"
"best","17","3.36508","0.673016",0.8,"SR"
"best","18","7.543167","1.5086334",0.8,"SR"
"best","19","3.277499","0.6554998",0.8,"SR"
"best","20","3.021761","0.6043522",0.8,"SR"
"best","21","3.508558","0.7017116",0.8,"SR"
"best","22","3.350865","0.670173",0.8,"SR"
"best","23","1.969985","0.393997",0.8,"SR"
"best","24","2.904441","0.5808882",0.8,"SR"
"best","25","5.285352","1.0570704",0.8,"SR"
"best","26","3.264649","0.6529298",0.8,"SR"
"best","27","5.950058","1.1900116",0.8,"SR"
"best","28","4.205115","0.841023",0.8,"SR"
"best","29","3.643741","0.7287482",0.8,"SR"
"best","30","3.383508","0.6767016",0.8,"SR"
"best","31","4.69142","0.938284",0.8,"SR"
"best","32","2.407234","0.4814468",0.8,"SR"
"best","33","4.003649","0.8007298",0.8,"SR"
"best","34","4.082407","0.8164814",0.8,"SR"
"best","35","2.57388","0.514776",0.8,"SR"
"best","36","3.792858","0.7585716",0.8,"SR"
"best","37","2.468041","0.4936082",0.8,"SR"
"best","38","4.044161","0.8088322",0.8,"SR"
"best","39","3.583532","0.7167064",0.8,"SR"
"best","40","2.857191","0.5714382",0.8,"SR"
"best","41","2.03858","0.407716",0.8,"SR"
"best","42","3.36128","0.672256",0.8,"SR"
"best","43","2.414224","0.4828448",0.8,"SR"
"best","44","2.992367","0.5984734",0.8,"SR"
"best","45","1.80695","0.36139",0.8,"SR"
